date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
1/1/2020,AD,0,0,,,0,0,,
1/2/2020,AD,0,0,,,0,0,,
1/3/2020,AD,0,0,,,0,0,,
1/4/2020,AD,0,0,,,0,0,,
1/5/2020,AD,0,0,,,0,0,,
1/6/2020,AD,0,0,,,0,0,,
1/7/2020,AD,0,0,,,0,0,,
1/8/2020,AD,0,0,,,0,0,,
1/9/2020,AD,0,0,,,0,0,,
1/10/2020,AD,0,0,,,0,0,,
1/11/2020,AD,0,0,,,0,0,,
1/12/2020,AD,0,0,,,0,0,,
1/13/2020,AD,0,0,,,0,0,,
1/14/2020,AD,0,0,,,0,0,,
1/15/2020,AD,0,0,,,0,0,,
1/16/2020,AD,0,0,,,0,0,,
1/17/2020,AD,0,0,,,0,0,,
1/18/2020,AD,0,0,,,0,0,,
1/19/2020,AD,0,0,,,0,0,,
1/20/2020,AD,0,0,,,0,0,,
1/21/2020,AD,0,0,,,0,0,,
1/22/2020,AD,0,0,,,0,0,,
1/23/2020,AD,0,0,,,0,0,,
1/24/2020,AD,0,0,,,0,0,,
1/25/2020,AD,0,0,,,0,0,,
1/26/2020,AD,0,0,,,0,0,,
1/27/2020,AD,0,0,,,0,0,,
1/28/2020,AD,0,0,,,0,0,,
1/29/2020,AD,0,0,,,0,0,,
1/30/2020,AD,0,0,,,0,0,,
1/31/2020,AD,0,0,,,0,0,,
2/1/2020,AD,0,0,,,0,0,,
2/2/2020,AD,0,0,,,0,0,,
2/3/2020,AD,0,0,,,0,0,,
2/4/2020,AD,0,0,,,0,0,,
2/5/2020,AD,0,0,,,0,0,,
2/6/2020,AD,0,0,,,0,0,,
2/7/2020,AD,0,0,,,0,0,,
2/8/2020,AD,0,0,,,0,0,,
2/9/2020,AD,0,0,,,0,0,,
2/10/2020,AD,0,0,,,0,0,,
2/11/2020,AD,0,0,,,0,0,,
2/12/2020,AD,0,0,,,0,0,,
2/13/2020,AD,0,0,,,0,0,,
2/14/2020,AD,0,0,,,0,0,,
2/15/2020,AD,0,0,,,0,0,,
2/16/2020,AD,0,0,,,0,0,,
2/17/2020,AD,0,0,,,0,0,,
2/18/2020,AD,0,0,,,0,0,,
2/19/2020,AD,0,0,,,0,0,,
2/20/2020,AD,0,0,,,0,0,,
2/21/2020,AD,0,0,,,0,0,,
2/22/2020,AD,0,0,,,0,0,,
2/23/2020,AD,0,0,,,0,0,,
2/24/2020,AD,0,0,,,0,0,,
2/25/2020,AD,0,0,,,0,0,,
2/26/2020,AD,0,0,,,0,0,,
2/27/2020,AD,0,0,,,0,0,,
2/28/2020,AD,0,0,,,0,0,,
2/29/2020,AD,0,0,,,0,0,,
3/1/2020,AD,1,0,,,1,0,,
3/2/2020,AD,0,0,,,1,0,,
3/3/2020,AD,0,0,,,1,0,,
3/4/2020,AD,0,0,,,1,0,,
3/5/2020,AD,0,0,,,1,0,,
3/6/2020,AD,0,0,,,1,0,,
3/7/2020,AD,0,0,,,1,0,,
3/8/2020,AD,0,0,,,1,0,,
3/9/2020,AD,0,0,,,1,0,,
3/10/2020,AD,0,0,,,1,0,,
3/11/2020,AD,0,0,,,1,0,,
3/12/2020,AD,1,0,,,2,0,,
3/13/2020,AD,0,0,,,2,0,,
3/14/2020,AD,0,0,,,2,0,,
3/15/2020,AD,12,0,,,14,0,,
3/16/2020,AD,25,0,,,39,0,,
3/17/2020,AD,0,0,,,39,0,,
3/18/2020,AD,36,0,,,75,0,,
3/19/2020,AD,19,0,,,94,0,,
3/20/2020,AD,39,1,,,133,1,,
3/21/2020,AD,1,0,,,134,1,,
3/22/2020,AD,31,0,,,165,1,,
3/23/2020,AD,48,2,,,213,3,,
3/24/2020,AD,18,0,,,231,3,,
3/25/2020,AD,58,0,,,289,3,,
3/26/2020,AD,32,1,,,321,4,,
3/27/2020,AD,20,2,,,341,6,,
3/28/2020,AD,29,2,,,370,8,,
3/29/2020,AD,6,4,,,376,12,,
3/30/2020,AD,20,1,,,396,13,,
3/31/2020,AD,0,0,,,396,13,,
4/1/2020,AD,33,2,,,429,15,,
4/2/2020,AD,13,1,,,442,16,,
4/3/2020,AD,24,1,,,466,17,,
4/4/2020,AD,57,0,,,523,17,,
4/5/2020,AD,17,4,,,540,21,,
